"Listing of All Active Institutions with Congressional, Assembly & Senate Districts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution ID,Legal Name,Popular Name,SED Code,INST Type Code,INST Type Description,INST Sub Type Code,INST Sub Type Description,Community Type Code,Community Type Description,County Code,County Description,Active Date,CEO Salutation,CEO FName,CEO LName,CEO Title,CEO Active Date,CEO Phone #,CEO Phone Extension,CEO email,Physical Address Line1,Physical Address Line2,Physical City,Physical State Code,Physical Zipcd5,Physical Zipadd4,Physical Country Code,Active Congressional District Code,Congressional District1,Congressional District2,Congressional District3,Congressional District4,Congressional District5,Active Senate District Code,Senate District1,Senate District2,Senate District3,Senate District4,senate District5,senate District6,Active Assembly District Code,Assembly District1,Assembly District2,Assembly District3,Assembly District4,Assembly District5,Assembly District6,Assembly District7,Assembly District8,Assembly District9
800000047063,COLL NEW ROCHELLE ROSA PARKS CAMPUS,COLL NEW ROCHELLE ROSA PARKS CAMPUS,310500360000,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,11/9/94,DR.,WILLIAM,LATIMER,PRESIDENT,"Jul 27, 2018",(914)654-5430, ,president@cnr.edu,144 W 125TH ST, ,NEW YORK,NY,10027,    ,US,13,10,12,13,15,0,30,27,28,29,30,31,33,70,61,66,67,68,69,70,71,72,73
800000047354,THE JUILLIARD SCHOOL,JUILLIARD SCHOOL (THE),310300376840,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,7/1/80,MR.,DAMIAN,WOETZEL,CHIEF EXECUTIVE OFFICER ,"Jan 17, 2019",(212)799-5000,201,woetzel@juilliard.edu,60 LINCOLN CENTER PLZ, ,NEW YORK,NY,10023,6588,US,12,5,9,10,12,13,47,10,21,27,28,29,30,67,23,42,61,66,67,68,69,70,72
800000047866,CORNELL UNIV MEDICAL CAMPUS,CORNELL UNIV MEDICAL CAMPUS,310200330000,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,11/9/94,DR.,MICHAEL,KOTLIKOFF,CHIEF EXECUTIVE OFFICER,"Jul 29, 2024",(607)255-5201, ,president@cornell.edu,1300 YORK AVE, ,NEW YORK,NY,10065,    ,US,12,5,6,7,9,10,28,11,12,14,16,17,18,76,32,33,34,36,40,44,46,47,51
800000065213,TOURO UNIVERSITY - HARLEM,TOURO UNIVERSITY - HARLEM,800000065213,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,7/16/09,DR.,ALAN,KADISH,CHIEF EXECUTIVE OFFICER,"Apr 28, 2011",(646)565-6136, ,alan.kadish@touro.edu,240 E 123RD ST, ,NEW YORK,NY,10035,    ,US,13,5,7,10,11,12,30,10,18,24,27,28,29,68,31,54,64,68,69,73,74,0,0
800000047853,COLL NEW ROCHELLE DIST COUN 31 CMPS,COLL NEW ROCHELLE DIST COUN 31 CMPS,310200360000,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,11/9/94,DR.,STEPHEN,SWEENY,CHIEF EXECUTIVE OFFICER,"May 6, 2010",(914)654-5431, ,ssweeny@cnr.edu,140 PARK PL, ,NEW YORK,NY,10007,    ,US,10,5,6,7,9,10,27,11,12,14,16,17,18,66,32,33,34,36,40,44,46,47,51
800000047842,NY SCHOOL OF INTERIOR DESIGN,NY SCHOOL OF INTERIOR DESIGN,310200370050,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,7/18/89,MR.,DAVID,SPROULS,PRESIDENT,"Jul 11, 2012",(212)472-1500,401,david.sprouls@nysid.edu,170 E 70TH ST, ,NEW YORK,NY,10021,    ,US,12,5,6,7,9,10,28,11,12,14,16,17,18,73,32,33,34,36,40,44,46,47,51
800000047062,BARNARD COLLEGE,BARNARD COLLEGE,310500355000,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,1/19/90, ,LAURA,ROSENBURY,PRESIDENT,"Jun 27, 2023",(212)854-2021, ,presidentsoffice@barnard.edu,3009 BROADWAY, ,NEW YORK,NY,10027,    ,US,13,10,12,13,15,0,30,27,28,29,30,31,33,69,61,66,67,68,69,70,71,72,73
800000046924,BORICUA COLLEGE,BORICUA COLLEGE,310600360005,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,4/17/91,DR.,VICTOR,ALICEA,CHIEF EXECUTIVE OFFICER ,"Aug 21, 2012",(212)694-1000,601,valicea@boricuacollege.edu,3755 BROADWAY, ,NEW YORK,NY,10032,    ,US,13,8,10,11,12,13,31,17,19,23,27,28,30,71,49,60,61,65,66,67,69,70,71
800000046923,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,310600340009,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,7/11/89,DR.,ARI,BERMAN,PRESIDENT,"Jun 16, 2017",(646)592-4300, ,president@yu.edu,500 W 185TH ST, ,NEW YORK,NY,10033,    ,US,13,8,10,11,12,13,31,17,19,23,27,28,30,72,49,60,61,65,66,67,69,70,71
800000047868,NYU ROBERT F WAGNER GRAD SCH PUB SER,NYU ROBERT F WAGNER GRAD SCH PUB SER,310200330036,1,REGENTS APPROVED INDEPENDENT COLLEGES,1,4-YEAR INDEPENDENT,71,NEW YORK CITY,31,NEW YORK,10/10/95, , , , ,"Jul 29, 2024",, , ,4 WASHINGTON SQ N, ,NEW YORK,NY,10003,6671,US,10,5,6,7,9,10,27,11,12,14,16,17,18,66,32,33,34,36,40,44,46,47,51
